Time,"Country Name","GDP growth (annual %)","Exports of goods and services (% of GDP)","Foreign direct investment, net inflows (% of GDP)","Gross national expenditure (% of GDP)","Gross capital formation (% of GDP)","Inflation, GDP deflator (annual %)","Central government debt, total (% of GDP)"
2013,"Australia","2.58489770154893","19.9561676149363","3.42582358029025","101.296030025249","27.8957916614323","-0.124199304266909","0.0380392720986105"
2013,"Austria","0.0255047121972183","53.4412932967224","0.104891997865552","97.3021967199551","23.7233900013028","1.62388806972808",".."
2013,"Belgium","0.459242192907709","79.3243484015476","-5.682227348616","99.2021482386479","22.4281969049074","1.27125815498337",".."
2013,"Canada","2.3291225062102","30.3319386683867","3.62860315845985","101.572875054738","24.907675073032","1.73744799956536",".."
2013,"Chile","4.045004298149","32.1994733836873","7.97833691854143","100.57452983816","25.6255681679712","1.97664526668761",".."
2013,"Colombia","5.13399351995672","18.0864397214368","4.24227326182844","101.813769354972","22.1825448506007","1.90767643221162","67.1029119456429"
2013,"Czech Republic","-0.0459036735515213","76.0583816157677","3.47571024002001","94.3056538181443","25.0131854916867","1.36470473782452",".."
2013,"Denmark","0.933340972371226","54.8288189867113","0.198012180552081","93.3924988610296","19.6908055236771","0.888170882360484",".."
2013,"France","0.576326674771792","29.3647378670492","1.12374280873532","101.034579340815","22.2871930659001","0.778100531144062",".."
2013,"Estonia","1.34618473238244","84.0234047614844","4.3446022601445","97.3337858012907","27.0225349217838","4.04323559158544",".."
2013,"Finland","-0.901696316194844","38.0176291228019","-1.82121067167557","101.054223501255","22.3344639072831","2.55829450973857",".."
2013,"Germany","0.437591303144671","45.4186778593914","1.8002762693752","94.2415209774663","20.0537464207587","1.95939168302444",".."
2013,"Greece","-3.24142473106683","30.3534287779604","1.22790258939749","102.812285494975","11.6010472954429","-2.35230050383245",".."
2013,"Hungary","1.86075162441399","85.582775300321","-2.64866369148927","93.0085022178263","20.9234714561327","2.82571607075144","93.9626297253434"
2013,"Iceland","4.13385115003635","53.4930381270854","2.94762237062463","92.3202279280825","15.3999308576356","2.1429065312486",".."
2013,"Ireland","1.35163384675889","103.664147245725","29.6848000555814","80.7364366820611","18.7476863751432","1.22754326838542","131.578729853816"
2013,"Israel","4.14805450271368","33.789986907802","4.04673155766651","98.1479571686387","20.0792143600057","2.3080000769677",".."
2013,"Italy","-1.84106545088248","28.6332430796987","0.912122176152343","97.6010932373764","16.892393762138","1.14761015891955",".."
2013,"Japan","2.00026784118108","15.9153981234384","0.206536579102136","102.316726009767","23.190909893087","-0.333177012089863","188.88147596982"
2013,"Korea, Rep.","3.16470863647184","51.2920711097027","0.93132803501368","95.3679627344828","29.8853272856136","1.01854380505277","34.9298593014974"
2013,"Latvia","2.31017607605585","59.93492935543","3.25071633057278","104.334230323454","25.0640723328227","1.63792269918292",".."
2013,"Lithuania","3.55007284270485","78.668573312647","1.53546797052794","98.5496442433421","19.5257637649991","1.28133222727746",".."
2013,"Luxembourg","3.65437134208327","190.628582291961","25.9278765667705","67.9847723290285","19.0173950033076","1.69592182600007",".."
2013,"Mexico","1.35409196151679","31.3056529520831","3.69455829574936","101.153570712803","22.4933833312547","1.52973082061064",".."
2013,"Netherlands","-0.130175288449919","79.880477786038","37.4807348626119","89.7883757303589","18.5100452258491","1.27998705426134",".."
2013,"New Zealand","2.62880054296055","28.8227433084535","-0.0364272636095702","98.389044298059","22.0046493840211","4.23737467257624","46.5431902852797"
2013,"Norway","1.03407291353631","39.1971735047655","-0.261803343835658","89.1522728397538","27.8506224228516","2.55519558349381",".."
2013,"Poland","1.12576783609582","46.0026088160493","0.152586407922639","98.5590177831865","19.2528924094141","0.304912996840983",".."
2013,"Portugal","-0.922644674527888","39.6065049729616","6.95553973472436","98.9014246739833","14.6321191842429","2.24865489225866",".."
2013,"Slovak Republic","0.666535041763396","93.4972605723115","1.01559474511189","94.4036812861979","20.8981339407632","0.516534872391631",".."
2013,"Slovenia","-1.02928277204056","74.2164751718266","0.214914545685303","95.3234064109745","19.5866071668353","1.60035593502236",".."
2013,"Spain","-1.43539425919327","32.9625774735678","3.49680634167963","96.0711443546712","17.2156950373794","0.398439552805712","99.9225891215183"
2013,"Sweden","1.187775715906","42.5268091342415","0.224427166638678","95.7620470084922","22.5231258457764","0.927395691401983",".."
2013,"Switzerland","1.85203981617654","71.9249426179144","-3.62037977668993","87.9466662539076","22.5465630684214","0.0252960781583056","20.6569585113431"
2013,"Turkey","8.48581700166973","23.7930095049554","1.41605856118159","104.94127978887","29.6194607832995","6.28010969435569","32.6708937101207"
2013,"United Kingdom","2.1394857181109","29.952601103524","1.95523073173183","101.276633471914","16.3005742073016","1.89559596405753","95.1373344728072"
2013,"United States","1.84208107011949","13.5445244306501","1.71661357594243","102.923963142409","20.4137431322085","1.75491578553326","96.0756025370965"
